train_set,embedding,algorithm,threshold,f-1,app_pairs
googleplay,fast,craftdroid,0.7,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
googleplay,fast,custom,0.68,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
googleplay,glove,atm,0.91,0.13333333333333333,ExpenseTracker2-ExpenseTracker4
googleplay,glove,craftdroid,0.72,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
googleplay,glove,custom,0.54,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
googleplay,w2v,atm,0.98,0.125,ExpenseTracker2-ExpenseTracker4
googleplay,w2v,craftdroid,0.68,0.2,ExpenseTracker2-ExpenseTracker4
googleplay,w2v,custom,0.68,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
googleplay,wm,atm,0.23,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
googleplay,wm,craftdroid,0.21,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
googleplay,wm,custom,0.28,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,bert,atm,0.73,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,bert,craftdroid,0.72,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,bert,custom,0.74,0.13333333333333333,ExpenseTracker2-ExpenseTracker4
standard,fast,atm,0.57,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,fast,craftdroid,0.42,0.15384615384615385,ExpenseTracker2-ExpenseTracker4
standard,fast,custom,0.47,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
standard,glove,atm,0.84,0.13333333333333333,ExpenseTracker2-ExpenseTracker4
standard,glove,craftdroid,0.44,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,glove,custom,0.61,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,nnlm,atm,0.53,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,nnlm,craftdroid,0.27,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,nnlm,custom,0.49,0.16666666666666666,ExpenseTracker2-ExpenseTracker4
standard,use,atm,0.41,0.2222222222222222,ExpenseTracker2-ExpenseTracker4
standard,use,craftdroid,0.15,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,use,custom,0.3,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
standard,w2v,atm,0.48,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,w2v,craftdroid,0.37,0.15384615384615385,ExpenseTracker2-ExpenseTracker4
standard,w2v,custom,0.4,0.18181818181818182,ExpenseTracker2-ExpenseTracker4
standard,wm,atm,0.2,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,wm,craftdroid,0.21,0.14285714285714285,ExpenseTracker2-ExpenseTracker4
standard,wm,custom,0.23,0.15384615384615385,ExpenseTracker2-ExpenseTracker4
android,fast,atm,0.59,0.11764705882352941,ExpenseTracker3-ExpenseTracker4
android,fast,craftdroid,0.69,0.15384615384615385,ExpenseTracker3-ExpenseTracker4
android,fast,custom,0.77,0.16666666666666666,ExpenseTracker3-ExpenseTracker4
android,glove,atm,0.58,0.14285714285714285,ExpenseTracker3-ExpenseTracker4
